sleeping,0,29812,"sleep,asleep,napping"
glowing_horn,0,29696,"horn_glow,horn_glowing"
irl_human,0,29607,irl_humans
fat,0,29379
thighs,0,29204,thigh
striped_socks,0,28778
licking,0,28277,lick
ponytail,0,28136,pony_tail
eyelashes,0,27843,eyelash
trio,0,27789
ask,0,27560,"tumblr_ask_blog,questions,ask_blog,askblog,ask_tumblr,tumblr_question,tumblr_ask"
smiling_at_you,0,27487
species_swap,0,27340,alternate_species
show_accurate,0,27249,"show_style_art,show_style"
gradient_background,0,26962
water,0,26879
hooves,0,26866,hoof
earth_pony_oc,0,26733
standing,0,26679
webm,0,26668
cowboy_hat,0,26637
hair_bow,0,26413,"bow_in_hair,hairbow,mane_bow"
caption,0,26341,"captioned,captions"
bikini,0,26332
eyebrows,0,26214,eyebrow
pillow,0,26144,pillows
erection,0,26062,"erect,boner"
toy,0,25791,toys
raised_tail,0,25779,"tail_raised,lifting_tail,tail_up,tail_lifted,lifted_tail,riased_tail,tail_lifting"
vulgar,0,25636,"profanity,homophobic_slur"
colored,0,25635,coloured
abstract_background,0,25027
midriff,0,24888
insertion,0,24751
masturbation,0,24738,"masturbating,fapping,jerking_off"
looking_up,0,24676
watermark,0,24609,watermarked
lineart,0,24546,"linework,line_art"
oc_x_oc,0,24532,"ocxoc,oc_shipping"
unamused,0,24521,"not_amused_face,not_amused"
busty_fluttershy,0,24408,"busty_flutterbat,hootershy,hooterbat"
mouth_hold,0,24111
submissive,0,24048
stars,0,24039,star
impossibly_large_breasts,0,24029
sky,0,24003
rear_view,0,23334,"backside,from_behind_view,back_view,view_from_behind,backview"
younger,0,23307
outdoors,0,23175,"outdoor,outside"
siblings,0,23038
pants,0,23020,trousers
teeth,0,23015
beach,0,22794
pinkamena_diane_pie,0,22681,"pinkamina,pinkamena,pdp"
cutie_mark_crusaders,0,22641,"cutiemark_crusaders,cmc"
foalcon,0,22281
bra,0,22248
race_swap,0,22229
size_difference,0,22157
choker,0,22069,chocker
wat,0,21933,"wut?,what?,i_don't_even,what_is_this_i_dont_even,what_is_this_i_don't_even,whut,wtf_am_i_looking_at,what_even,what,wut,what_the_hay_is_this"
solo_futa,0,21669
colt,0,21628,colts
apple,0,21582,apples
sunglasses,0,21465,"ray_ban,oakleys,sun_glasses,shades"
the_ass_was_fat,0,21445,"that_ass_was_fat,dat_ass_was_fat,that_ass,thicc_ass"
group_sex,0,21381
folded_wings,0,21295,"wings_closed,fodled_wings,closed_wing,wings_folded,closed_wings"
christmas,0,21190,"x-mas,xmass,x-mass,xmas"
hoodie,0,21075,hoody
gun,0,21074,"firearms,guns,firearm"
wallpaper,0,20954
pov,0,20722,"point_of_view,first_person"
jacket,0,20577
frog_(hoof),0,20546
gag,0,20300,gagged
big_belly,0,20270
big_penis,0,20165,"big_cock,huge_penis,huge_dick,large_cock,big_dick,huge_cock,large_penis"
glowing,0,20134,glow
shorts,0,20097,short_shorts
fluffy,0,20047,"fluff,floof,fuzzy,floofy"
wide_eyes,0,20047,"eyes_widened,eyes_wide_open,wide_eeys"
snow,0,19916
sweater,0,19901
